,name,review
0,rupam dhara,good phone price rang batteri backup good camera ok ok perform good mi love fast deliveri flipkart thanksread
1,soumadip mondal,nice mobil perform good camera qualiti good good zoom colour boost love thank flipkart read
2,rahul dhochak,mobil best price rangeprocessor qualcomm snapdragon realli power multitask gamingcamera night mode amaz batteri life outstand fabul performancer mahoveral excel perform star flipkart servicesread
3,kuldeep singh,good phone nice work good perform nice lookread
4,nilesh gaidhani,phone camera good use first phone buyerbatteri awesom heavi use also need charg day display also impres segment hd inch qualiti goodspeak loud clear problemperform sometim good play candi crush game frame drop high think use right hz panel bcoz feel poco pro first smartphon buyer phone greatread
5,flipkart custom,better backup osm an camer clariti good happi product bec product excel budget price good happi read
6,nitish gaurav,regular custom mi redmi awesom charg fast give review month satisfi plz go guy realli awesom product thank flipkartread
7,deepak kumar shrivastava,awesom product redmi made cool phone phone camera click photo hdr rock perform main thing redmi front camera mega pixel come like mega pixel although redmi rock phone read
8,sharda verma,deduct star coz late deliveri talk phone budget amaz provid much featur brand big screen sturdi plastic bodi back cam also awesom front camera excel ok ok price big batteri also take much time charg charger provid box kind normal fast charger display resolut qualiti good overal phone good budget down read
9,amal varghes,faster deliveri smartphon budget spec valu money balanc area perform good price batteri also good softwar ui experi mostli trash read
10,jegadeesan ramalingam,awseom super fast deliveri hat flipkart deliveri divis ekart redmi realli superb perfom aspect st snapdragon processor fast instal app slag nd camera excel output price segmentwiithout insert sim use wifi batteri life standbi mode day superb prepar backup oldmobil put sim sd card overal amaz thank redmi flipkart read
11,manish kaushik,decent phone rang best part process camera good batteri good redmi provid fast charger box take much time charg overal good phone want good processor read
12,silambarasan,bought mobil may th write review juli worth money main problem batteri camera mobil hangingit fast charg mobil take hour charg fullythi mb camera mobil worth even mb fewer app hang sometim read
13,flipkart custom,devic come good packag would better would also includ soft case rear camera much better front okay perform display much better altogeth recommend buy camera enthusiast suggest stay away read
14,flipkart custom,product nice valu money price rang batteri super duper camera ok mp main camera good front also good perform nice price rang nice gift grandfath love much read
